,City,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.88,147.33,64.99,60.8,72,75,1.12,AU,1609711992
1,qaanaaq,77.48,-69.36,2.01,2.01,83,82,3.53,GL,1609712078
2,lavrentiya,65.58,-171.0,-6.02,-6.02,90,85,15.14,RU,1609712079
3,tiksi,71.69,128.87,-23.73,-23.73,84,43,3.38,RU,1609712080
4,wattegama,6.8,81.48,75.2,75.2,100,75,5.82,LK,1609712082
5,san cristobal,7.77,-72.22,75.2,75.2,94,75,4.7,VE,1609711931
6,nobeoka,32.58,131.67,26.01,26.01,79,71,1.99,JP,1609712084
7,ponta do sol,32.67,-17.1,62.6,52.0,67,75,11.41,PT,1609712086
8,oktyabrskoye,43.06,44.74,26.6,26.6,100,0,6.71,RU,1609712087
9,albany,42.6,-73.97,32.0,30.99,85,99,3.13,US,1609711918
10,longyearbyen,78.22,15.64,33.8,33.8,80,40,21.92,SJ,1609711878
11,norman wells,65.28,-126.83,-14.8,-14.8,75,75,5.82,CA,1609712090
12,lompoc,34.64,-120.46,62.6,59.0,67,1,4.7,US,1609712092
13,high level,58.52,-117.14,-4.0,-4.0,83,20,3.36,CA,1609712093
14,cidreira,-30.18,-50.21,74.41,74.41,72,0,21.36,BR,1609712094
15,vaini,-21.2,-175.2,80.6,80.6,88,75,10.29,TO,1609712095
16,bluff,-46.6,168.33,59.0,59.0,74,78,8.01,NZ,1609712097
17,taltal,-25.4,-70.48,68.61,68.61,66,23,6.62,CL,1609712098
18,saint-philippe,-21.36,55.77,75.2,63.0,73,0,8.05,RE,1609712099
19,cape town,-33.93,18.42,73.4,68.0,69,0,14.99,ZA,1609711921
20,abu samrah,35.3,37.18,52.2,52.2,63,77,4.72,SY,1609712102
21,port alfred,-33.59,26.89,73.0,73.0,93,18,3.83,ZA,1609712104
22,tasiilaq,65.61,-37.64,28.4,28.4,79,100,25.28,GL,1609712106
23,molina,-35.12,-71.28,89.6,89.6,22,0,13.87,CL,1609712108
24,west plains,36.73,-91.85,46.99,46.0,70,1,5.82,US,1609712109
25,edson,53.58,-116.44,39.2,37.4,35,1,16.11,CA,1609712110
26,mataura,-46.19,168.86,59.0,59.0,74,100,8.01,NZ,1609712112
27,qaqortoq,60.72,-46.03,26.6,26.6,68,100,4.7,GL,1609712113
28,margate,51.38,1.39,42.01,39.99,68,100,4.0,GB,1609712101
29,college,64.86,-147.8,1.4,1.4,64,90,10.29,US,1609712116
30,kasongo-lunda,-6.47,16.82,70.84,70.84,92,67,0.76,CD,1609712117
31,ozinki,51.18,49.68,25.29,25.29,98,83,5.01,RU,1609712118
32,bandundu,-3.32,17.37,73.08,73.08,93,100,1.61,CD,1609712120
33,meulaboh,4.14,96.13,75.49,75.49,86,99,4.56,ID,1609712121
34,castro,-24.79,-50.01,63.68,63.68,88,1,9.8,BR,1609712122
35,thompson,55.74,-97.86,3.2,3.2,84,90,8.05,CA,1609712123
36,punta arenas,-53.15,-70.92,53.6,53.01,54,40,29.97,CL,1609711835
37,imbituba,-28.24,-48.67,77.0,77.0,65,40,12.75,BR,1609712021
38,mpika,-11.83,31.45,60.35,60.35,96,65,2.08,ZM,1609712127
39,pangnirtung,66.15,-65.71,-5.8,-5.8,63,90,3.36,CA,1609712128
40,coihaique,-45.58,-72.07,60.8,60.8,41,75,9.17,CL,1609712130
41,fortuna,40.6,-124.16,55.99,53.6,93,40,13.87,US,1609712131
42,kapit,2.02,112.93,74.14,74.14,95,100,1.9,MY,1609712132
43,naze,28.37,129.48,60.8,60.8,87,75,13.87,JP,1609712133
44,severo-kurilsk,50.68,156.12,23.04,23.04,93,100,26.13,RU,1609712134
45,chuy,-33.7,-53.46,71.44,71.44,78,28,12.53,UY,1609712136
